node,category,P,R,Acc,F1
1,Bot,0.1566265060240964,0.03412073490813648,0.43774069319640563,0.05603448275862069
2,DDoS,0.9362970994849553,0.8678391959798994,0.8478,0.9007693310731516
3,DoS GoldenEye,0.896551724137931,0.9876665022200296,0.9162577690546287,0.939906103286385
4,DoS Hulk,0.9458628841607565,0.9970097184151507,0.9518,0.9707630716971977
5,DoS Slowhttptest,0.7740667976424361,0.7763546798029557,0.7766373411534702,0.7752090506640433
6,DoS slowloris,0.6166180758017493,0.39202965708989806,0.5575349061145883,0.47932011331444757
7,FTP-Patator,0.7697431018078021,0.6873406966864911,0.7209515096065874,0.7262118491921006
8,PortScan + Infiltration,0.9187866927592955,0.7097505668934241,0.7198,0.8008528784648188
9,SSH-Patator + Heartbleed,0.7994858611825193,0.9269746646795827,0.8413312693498453,0.8585231193926847
10,WebAttack BF + SQL + XSS,0.7869198312236287,0.9031476997578692,0.8354725787631272,0.8410372040586246
,Average,0.760095857422517,0.7282234116433438,0.7605326067238652,0.7348627203902075
