round,train_acc,val_acc
1,0.9904914147121241,0.8286436579468015
2,0.9928887514734585,0.8194474976185242
3,0.9941830463948961,0.8242470872719279
4,0.995886377414047,0.826225544075621
5,0.9961638092978189,0.8221587162013629
6,0.9964489031468466,0.8209496592657727
7,0.9964714638830438,0.8206931926430717
8,0.9964424884243341,0.820070345130798
9,0.996443662294571,0.820326811753499
10,0.9964578280170244,0.820326811753499
11,0.9964526362946506,0.8201069832197553
12,0.9964544515822467,0.8201069832197553
13,0.9964558442032957,0.8199970689528834
14,0.9964582705771741,0.8199970689528834
15,0.9964578825806334,0.8200337070418406
16,0.9964604030396745,0.8202901736645417
17,0.9964515393386545,0.8202901736645417
18,0.9964521542446463,0.8203634498424562
19,0.9964617909903337,0.820070345130798
20,0.9964636613864635,0.820326811753499
21,0.996473000683527,0.8251264014069026
22,0.9964555485699186,0.8250531252289881
23,0.996464917955119,0.8253095918516891
24,0.9964476021314387,0.8250164871400307
25,0.9964483462042838,0.8252729537627317
26,0.9964487019550351,0.8251264014069026
27,0.996448928304773,0.8247966586062871
28,0.9964510287466671,0.8199604308639261
29,0.9964684251724828,0.8252363156737744
30,0.9964702885630071,0.8249065728731589
31,0.9964598387360987,0.8248332966952444
32,0.9964704812153189,0.8249432109621162
33,0.9964614167068434,0.8247600205173298
34,0.9964628002982523,0.8247966586062871
35,0.9964618351160591,0.8247233824283725
36,0.9964624464592635,0.8246867443394152
37,0.99646270380373,0.8245401919835862
38,0.9964628324619231,0.824650106250458
39,0.9964527718404657,0.8245401919835862
40,0.9964547388324273,0.8245401919835862
41,0.9964639578220161,0.8247600205173298
42,0.9964916711009298,0.8246134681615007
43,0.996492177284819,0.8245035538946288
44,0.9964832865941081,0.8244302777167143
45,0.9964842376655338,0.8244302777167143
46,0.9964670361858411,0.8237707921154832
47,0.9964573849551539,0.8234044112259105
48,0.99645728915011,0.8236975159375687
49,0.9964664947988967,0.8237707921154832
50,0.9964668132818978,0.8235876016706969
51,0.9964667495898906,0.8235509635817396
52,0.9964765569382992,0.8238440682933978
53,0.9964577042678805,0.8234410493148677
54,0.9964757947488441,0.8238074302044406
55,0.9964583746372763,0.8234044112259105
56,0.9964764616826473,0.8238440682933978
57,0.9964759218033186,0.8237707921154832
58,0.9964670361858411,0.8237341540265259
59,0.9964762076423936,0.8238440682933978
60,0.9964767156862745,0.8242837253608851
61,0.9964769061649636,0.8242470872719279
62,0.9962980977086036,0.8236242397596542
63,0.9964681821048553,0.8236975159375687
64,0.9964770966230584,0.8241371730050561
65,0.9964870245097598,0.8242470872719279
