round,train_acc,val_acc
1,0.5655260217259888,0.5662416648347622
2,0.5643902617743501,0.5652157983439584
3,0.5614959057685615,0.561112332380743
4,0.5574566304566854,0.5567523997948267
5,0.5477568740955138,0.5475928775555067
6,0.5467035483339134,0.5470433062211475
7,0.5465203612449394,0.5472997728438485
8,0.5471340379930022,0.5479592584450795
9,0.546080712231402,0.5462739063530446
10,0.5450548645331477,0.5453213160401553
11,0.5448258806719303,0.5451014875064116
12,0.544532781329572,0.5450282113284971
13,0.5651779662569382,0.5662783029237195
14,0.565397790763707,0.5665347695464205
15,0.5646558830533625,0.566205026745805
16,0.562814852809174,0.5640433794973254
17,0.5636208760006595,0.5647028650985565
18,0.5640971624319918,0.564776141276471
19,0.564729157888952,0.565948560123104
20,0.5660114675117698,0.5671209789697369
21,0.567431167451318,0.5686231406169854
22,0.568585246111854,0.5695757309298747
23,0.5689149828720071,0.5699787499084048
24,0.5693546318855447,0.5706382355096358
25,0.5697759621901848,0.5711511687550377
26,0.5699316712158127,0.5716641020004397
27,0.5692630383410577,0.5713709972887814
28,0.5668632874754987,0.5688796072396863
29,0.5618531205920607,0.5648860555433428
30,0.5589038084595798,0.5617718179819741
31,0.5572734433677115,0.5602696563347256
32,0.5559636556815476,0.5590239613101781
33,0.5551759511989595,0.5581446471752033
34,0.5537379325505138,0.5570088664175277
35,0.5517778306984924,0.5556898952150656
36,0.5491032991994724,0.5525756576536968
37,0.5459616406235689,0.5499743533377299
38,0.5239242338200004,0.5273320143621308
39,0.5231731667552071,0.5266358906719425
40,0.5218542197145946,0.5250604528467795
41,0.5169356463756435,0.5209936249725214
42,0.5133085420139588,0.5175862826994944
43,0.5114766711242191,0.5160474829632886
44,0.5082525783582773,0.5127134168681762
45,0.5077488138635989,0.512310397889646
46,0.5058070307204748,0.5103685791749102
47,0.5043048965908883,0.5090862460614054
48,0.5041033907930169,0.5088297794387044
49,0.5039568411218377,0.5086832270828754
50,0.5035446701716463,0.5079138272147725
51,0.5030958618036601,0.5072543416135414
52,0.5014471780028944,0.505752179966293
53,0.4992764109985528,0.5031875137392834
54,0.49666599498067376,0.5010258664908038
55,0.49444027184964,0.499084047776068
56,0.49259924160545165,0.4971788671502894
57,0.4908223268424041,0.4953103246134682
58,0.48600450640238874,0.489924525536748
59,0.4835131619923428,0.486920202242251
60,0.4821575775339354,0.4848318311716861
61,0.4822766491417685,0.48486846926064336
62,0.48180952206488487,0.4846120026379424
63,0.4800509260107348,0.4831831171686085
64,0.4787228196156735,0.48219388876676195
65,0.47662532744692154,0.48028870814098334
66,0.47836560479217427,0.481937422144061
67,0.47953800216160763,0.48285337436799297
68,0.4799501731117991,0.4832197552575658
69,0.4790891937936214,0.48248699347842017
70,0.4786403854256352,0.48212061258884736
71,0.4785945886533917,0.4822305268557192
72,0.4778526809430471,0.48124129845387265
73,0.47765117514517574,0.48080164138638526
74,0.47770613127186795,0.48087491756429984
75,0.4796021176427485,0.4827800981900784
76,0.48261554525637035,0.4864439070858064
