round,train_acc,val_acc
1,0.736613839431292,0.7185828387191324
2,0.7408856714276397,0.723638894995237
3,0.7444727059283898,0.7274858943357514
4,0.7497880388704102,0.7346669597713783
5,0.8749755429465857,0.8650252802813805
6,0.8794756407747994,0.8707774602476734
7,0.8815952520706972,0.8737817835421704
8,0.8824430965890563,0.8752839451894189
9,0.8817256896889063,0.8751007547446326
10,0.8826713624209221,0.8751373928335898
11,0.8825409248027131,0.874111526342786
12,0.8833887693210722,0.8751007547446326
13,0.8848235831213722,0.877262401993112
14,0.8863888345398813,0.8795706015974207
15,0.8885410552403313,0.8817322488459002
16,0.8880519141720472,0.882355096358174
17,0.8890628057131676,0.8837107056495933
18,0.8899758690406313,0.8845167436066534
19,0.8908563229635427,0.8858357148091156
20,0.891019369986304,0.8865684765882612
21,0.8915085110545882,0.8873012383674067
22,0.89268244961847,0.8869714955667912
23,0.8764103567468858,0.8718399648274346
24,0.8760842627013631,0.8711438411372463
25,0.8769647166242744,0.8735985930973841
26,0.8713558990412835,0.8676265845973474
27,0.8664644883584426,0.861691214186268
28,0.8651927215809039,0.8617278522752253
29,0.8657470814582926,0.8627903568549864
30,0.8662688319311289,0.8634864805451747
31,0.8660731755038154,0.8635963948120466
32,0.8664970977629949,0.8646588993918077
33,0.8669536294267267,0.8651718326372096
34,0.8656166438400835,0.8638894995237049
35,0.8641492206352313,0.8620575950758409
36,0.864605752298963,0.8635597567230894
37,0.8649970651535903,0.8640360518795339
38,0.8653883780082176,0.8643657946801495
39,0.8654209874127698,0.8645489851249358
40,0.8648666275353812,0.8642558804132776
41,0.8641492206352313,0.8635597567230894
42,0.863529641948738,0.8633399281893457
43,0.8628774538576925,0.8630468234776874
44,0.8626817974303789,0.8630101853887301
45,0.8628448444531402,0.8622407855206272
46,0.8630078914759016,0.8630101853887301
47,0.8557686036652971,0.8544368725727266
48,0.8527033196373834,0.8501135780757676
49,0.8509424117915607,0.8485381402506045
50,0.8487249722820062,0.8465230453579541
51,0.8422357007761039,0.8403678464131311
52,0.8391051979390857,0.8372902469407195
53,0.8378660405660993,0.835788085293471
54,0.8280832192004174,0.8268850296768521
55,0.8249201069588469,0.8241738110940133
56,0.8202895715124242,0.8193009452626951
57,0.8178112567664515,0.817725507437532
58,0.8165394899889128,0.8168095552136001
59,0.8145829257157764,0.8147211841430351
60,0.8124959238244309,0.8116802227595808
61,0.8068218874323355,0.8081996043086392
62,0.8109632818104742,0.7990400820693193
63,0.8041479162590491,0.7913460833882905
64,0.7997456466444923,0.7873158936029897
65,0.7848431487641035,0.7733201436213087
66,0.776169047153199,0.7670916684985711
67,0.7701689167155807,0.7613761266212354
68,0.7653753342463967,0.7555140323880707
69,0.7625709254549012,0.7530959185168902
70,0.7603534859453467,0.7514472045138125
71,0.7566686232309398,0.7471605481058108
72,0.7533098545620557,0.7433135487652964
73,0.7492010695884693,0.7395398256026966
74,0.7430378921280898,0.7327984172345571
75,0.7377551685906215,0.7275225324247088
76,0.7284614882932238,0.7186927529860042
