precision,recall
0.25535714285714284,1.0
0.2558139534883721,1.0
0.25627240143369173,1.0
0.25673249551166966,1.0
0.25719424460431656,1.0
0.2581227436823105,1.0
0.2585895117540687,1.0
0.25905797101449274,1.0
0.2595281306715064,1.0
0.26,1.0
0.2604735883424408,1.0
0.26094890510948904,1.0
0.26142595978062155,1.0
0.2619047619047619,1.0
0.26286764705882354,1.0
0.26335174953959484,1.0
0.26383763837638374,1.0
0.2643253234750462,1.0
0.26481481481481484,1.0
0.2653061224489796,1.0
0.26579925650557623,1.0
0.26629422718808193,1.0
0.2667910447761194,1.0
0.2672897196261682,1.0
0.26779026217228463,1.0
0.2682926829268293,1.0
0.26879699248120303,1.0
0.2693032015065913,1.0
0.269811320754717,1.0
0.27032136105860116,1.0
0.2708333333333333,1.0
0.2713472485768501,1.0
0.2718631178707224,1.0
0.2723809523809524,1.0
0.2729007633587786,1.0
0.2734225621414914,1.0
0.2739463601532567,1.0
0.2744721689059501,1.0
0.275,1.0
0.27552986512524086,1.0
0.27606177606177607,1.0
0.2765957446808511,1.0
0.2771317829457364,1.0
0.27766990291262134,1.0
0.2782101167315175,1.0
0.2787524366471735,1.0
0.279296875,1.0
0.27984344422700586,1.0
0.2803921568627451,1.0
0.28094302554027506,1.0
0.281496062992126,1.0
0.28205128205128205,1.0
0.2826086956521739,1.0
0.28316831683168314,1.0
0.2837301587301587,1.0
0.28429423459244535,1.0
0.2848605577689243,1.0
0.28542914171656686,1.0
0.286,1.0
0.2865731462925852,1.0
0.28714859437751006,1.0
0.28772635814889336,1.0
0.28830645161290325,1.0
0.28888888888888886,1.0
0.2894736842105263,1.0
0.29006085192697767,1.0
0.29065040650406504,1.0
0.29124236252545826,1.0
0.29183673469387755,1.0
0.29243353783231085,1.0
0.2930327868852459,1.0
0.2936344969199179,1.0
0.294238683127572,1.0
0.2948453608247423,1.0
0.29545454545454547,1.0
0.29606625258799174,1.0
0.2966804979253112,1.0
0.2972972972972973,1.0
0.29791666666666666,1.0
0.2985386221294363,1.0
0.29916317991631797,1.0
0.29979035639413,1.0
0.3004201680672269,1.0
0.30105263157894735,1.0
0.30168776371308015,1.0
0.3023255813953488,1.0
0.3029661016949153,1.0
0.3036093418259023,1.0
0.30425531914893617,1.0
0.3049040511727079,1.0
0.3055555555555556,1.0
0.30620985010706636,1.0
0.30686695278969955,1.0
0.30752688172043013,1.0
0.3081896551724138,1.0
0.30885529157667385,1.0
0.30952380952380953,1.0
0.31019522776572667,1.0
0.3108695652173913,1.0
0.3115468409586057,1.0
0.31222707423580787,1.0
0.31291028446389496,1.0
0.31359649122807015,1.0
0.3142857142857143,1.0
0.31497797356828194,1.0
0.31567328918322296,1.0
0.3163716814159292,1.0
0.3170731707317073,1.0
0.31777777777777777,1.0
0.3184855233853007,1.0
0.31919642857142855,1.0
0.319910514541387,1.0
0.32062780269058294,1.0
0.32134831460674157,1.0
0.32207207207207206,1.0
0.3227990970654628,1.0
0.3235294117647059,1.0
0.3242630385487528,1.0
0.325,1.0
0.32574031890660593,1.0
0.3264840182648402,1.0
0.32723112128146453,1.0
0.32798165137614677,1.0
0.32873563218390806,1.0
0.3294930875576037,1.0
0.3302540415704388,1.0
0.33101851851851855,1.0
0.33178654292343385,1.0
0.3325581395348837,1.0
0.3333333333333333,1.0
0.3341121495327103,1.0
0.33489461358313816,1.0
0.33568075117370894,1.0
0.33647058823529413,1.0
0.33726415094339623,1.0
0.3380614657210402,1.0
0.33886255924170616,1.0
0.33966745843230406,1.0
0.3404761904761905,1.0
0.3412887828162291,1.0
0.34210526315789475,1.0
0.34292565947242204,1.0
0.34375,1.0
0.344578313253012,1.0
0.34541062801932365,1.0
0.34624697336561744,1.0
0.3470873786407767,1.0
0.34793187347931875,1.0
0.348780487804878,1.0
0.34963325183374083,1.0
0.35049019607843135,1.0
0.35135135135135137,1.0
0.3522167487684729,1.0
0.3530864197530864,1.0
0.35396039603960394,1.0
0.3548387096774194,1.0
0.35572139303482586,1.0
0.3566084788029925,1.0
0.3575,1.0
0.3583959899749373,1.0
0.3592964824120603,1.0
0.3602015113350126,1.0
0.3611111111111111,1.0
0.3620253164556962,1.0
0.3629441624365482,1.0
0.3638676844783715,1.0
0.3647959183673469,1.0
0.3657289002557545,1.0
0.36666666666666664,1.0
0.3676092544987147,1.0
0.36855670103092786,1.0
0.3695090439276486,1.0
0.3704663212435233,1.0
0.37142857142857144,1.0
0.3723958333333333,1.0
0.3733681462140992,1.0
0.3743455497382199,1.0
0.3753280839895013,1.0
0.3763157894736842,1.0
0.37730870712401055,1.0
0.3783068783068783,1.0
0.3793103448275862,1.0
0.3803191489361702,1.0
0.38133333333333336,1.0
0.38235294117647056,1.0
0.38337801608579086,1.0
0.3844086021505376,1.0
0.38544474393531,1.0
0.3864864864864865,1.0
0.3875338753387534,1.0
0.38858695652173914,1.0
0.3896457765667575,1.0
0.3907103825136612,1.0
0.3917808219178082,1.0
0.39285714285714285,1.0
0.3939393939393939,1.0
0.39502762430939226,1.0
0.3961218836565097,1.0
0.3972222222222222,1.0
0.3983286908077994,1.0
0.3994413407821229,1.0
0.4005602240896359,1.0
0.40168539325842695,1.0
0.4028169014084507,1.0
0.403954802259887,1.0
0.40509915014164305,1.0
0.40625,1.0
0.4074074074074074,1.0
0.4085714285714286,1.0
0.40974212034383956,1.0
0.4109195402298851,1.0
0.41210374639769454,1.0
0.41329479768786126,1.0
0.4144927536231884,1.0
0.41569767441860467,1.0
0.41690962099125367,1.0
0.41812865497076024,1.0
0.41935483870967744,1.0
0.42058823529411765,1.0
0.4218289085545723,1.0
0.4230769230769231,1.0
0.42433234421364985,1.0
0.4255952380952381,1.0
0.42686567164179107,1.0
0.4281437125748503,1.0
0.4294294294294294,1.0
0.4307228915662651,1.0
0.43202416918429004,1.0
0.43333333333333335,1.0
0.43465045592705165,1.0
0.43597560975609756,1.0
0.43730886850152906,1.0
0.4386503067484663,1.0
0.44,1.0
0.44135802469135804,1.0
0.44272445820433437,1.0
0.4440993788819876,1.0
0.4454828660436137,1.0
0.446875,1.0
0.4482758620689655,1.0
0.449685534591195,1.0
0.45110410094637227,1.0
0.4525316455696203,1.0
0.45396825396825397,1.0
0.4554140127388535,1.0
0.45686900958466453,1.0
0.4583333333333333,1.0
0.45980707395498394,1.0
0.4612903225806452,1.0
0.4627831715210356,1.0
0.4642857142857143,1.0
0.46579804560260585,1.0
0.4673202614379085,1.0
0.46885245901639344,1.0
0.47039473684210525,1.0
0.47194719471947194,1.0
0.4735099337748344,1.0
0.4750830564784053,1.0
0.4766666666666667,1.0
0.4782608695652174,1.0
0.4798657718120805,1.0
0.48148148148148145,1.0
0.4831081081081081,1.0
0.4847457627118644,1.0
0.48639455782312924,1.0
0.4880546075085324,1.0
0.4897260273972603,1.0
0.49140893470790376,1.0
0.49310344827586206,1.0
0.49480968858131485,1.0
0.4965277777777778,1.0
0.49825783972125437,1.0
0.4965034965034965,0.993006993006993
0.49473684210526314,0.986013986013986
0.49295774647887325,0.9790209790209791
0.4911660777385159,0.972027972027972
0.4929078014184397,0.972027972027972
0.49466192170818507,0.972027972027972
0.49642857142857144,0.972027972027972
0.4982078853046595,0.972027972027972
0.5,0.972027972027972
0.5018050541516246,0.972027972027972
0.5036231884057971,0.972027972027972
0.5054545454545455,0.972027972027972
0.5072992700729927,0.972027972027972
0.5091575091575091,0.972027972027972
0.5110294117647058,0.972027972027972
0.5129151291512916,0.972027972027972
0.5148148148148148,0.972027972027972
0.516728624535316,0.972027972027972
0.5186567164179104,0.972027972027972
0.5205992509363296,0.972027972027972
0.5225563909774437,0.972027972027972
0.5245283018867924,0.972027972027972
0.5265151515151515,0.972027972027972
0.5285171102661597,0.972027972027972
0.5305343511450382,0.972027972027972
0.5325670498084292,0.972027972027972
0.5307692307692308,0.965034965034965
0.5328185328185329,0.965034965034965
0.5348837209302325,0.965034965034965
0.5369649805447471,0.965034965034965
0.5390625,0.965034965034965
0.5411764705882353,0.965034965034965
0.5433070866141733,0.965034965034965
0.5454545454545454,0.965034965034965
0.5476190476190477,0.965034965034965
0.549800796812749,0.965034965034965
0.552,0.965034965034965
0.5542168674698795,0.965034965034965
0.5564516129032258,0.965034965034965
0.5587044534412956,0.965034965034965
0.5609756097560976,0.965034965034965
0.563265306122449,0.965034965034965
0.5655737704918032,0.965034965034965
0.5637860082304527,0.958041958041958
0.5619834710743802,0.951048951048951
0.5643153526970954,0.951048951048951
0.5666666666666667,0.951048951048951
0.5690376569037657,0.951048951048951
0.5714285714285714,0.951048951048951
0.5738396624472574,0.951048951048951
0.576271186440678,0.951048951048951
0.5787234042553191,0.951048951048951
0.5811965811965812,0.951048951048951
0.5836909871244635,0.951048951048951
0.5862068965517241,0.951048951048951
0.5887445887445888,0.951048951048951
0.591304347826087,0.951048951048951
0.5938864628820961,0.951048951048951
0.5964912280701754,0.951048951048951
0.5991189427312775,0.951048951048951
0.6017699115044248,0.951048951048951
0.6044444444444445,0.951048951048951
0.6071428571428571,0.951048951048951
0.6098654708520179,0.951048951048951
0.6126126126126126,0.951048951048951
0.6153846153846154,0.951048951048951
0.6181818181818182,0.951048951048951
0.6164383561643836,0.9440559440559441
0.6192660550458715,0.9440559440559441
0.6221198156682027,0.9440559440559441
0.625,0.9440559440559441
0.627906976744186,0.9440559440559441
0.6308411214953271,0.9440559440559441
0.6291079812206573,0.9370629370629371
0.6320754716981132,0.9370629370629371
0.6350710900473934,0.9370629370629371
0.638095238095238,0.9370629370629371
0.6411483253588517,0.9370629370629371
0.6442307692307693,0.9370629370629371
0.642512077294686,0.9300699300699301
0.6407766990291263,0.9230769230769231
0.6390243902439025,0.916083916083916
0.6372549019607843,0.9090909090909091
0.6354679802955665,0.9020979020979021
0.6336633663366337,0.8951048951048951
0.6318407960199005,0.8881118881118881
0.63,0.8811188811188811
0.628140703517588,0.8741258741258742
0.6262626262626263,0.8671328671328671
0.6243654822335025,0.8601398601398601
0.6224489795918368,0.8531468531468531
0.6205128205128205,0.8461538461538461
0.6185567010309279,0.8391608391608392
0.616580310880829,0.8321678321678322
0.6145833333333334,0.8251748251748252
0.612565445026178,0.8181818181818182
0.6105263157894737,0.8111888111888111
0.6084656084656085,0.8041958041958042
0.6063829787234043,0.7972027972027972
0.6042780748663101,0.7902097902097902
0.6021505376344086,0.7832167832167832
0.6,0.7762237762237763
0.5978260869565217,0.7692307692307693
0.5956284153005464,0.7622377622377622
0.5934065934065934,0.7552447552447552
0.5911602209944752,0.7482517482517482
0.5888888888888889,0.7412587412587412
0.5865921787709497,0.7342657342657343
0.5842696629213483,0.7272727272727273
0.5819209039548022,0.7202797202797203
0.5795454545454546,0.7132867132867133
0.5771428571428572,0.7062937062937062
0.5747126436781609,0.6993006993006993
0.5722543352601156,0.6923076923076923
0.5697674418604651,0.6853146853146853
0.5672514619883041,0.6783216783216783
0.5647058823529412,0.6713286713286714
0.5621301775147929,0.6643356643356644
0.5595238095238095,0.6573426573426573
0.5568862275449101,0.6503496503496503
0.5542168674698795,0.6433566433566433
0.5515151515151515,0.6363636363636364
0.5487804878048781,0.6293706293706294
0.5460122699386503,0.6223776223776224
0.5432098765432098,0.6153846153846154
0.5403726708074534,0.6083916083916084
0.5375,0.6013986013986014
0.5345911949685535,0.5944055944055944
0.5316455696202531,0.5874125874125874
0.5286624203821656,0.5804195804195804
0.5256410256410257,0.5734265734265734
0.5225806451612903,0.5664335664335665
0.5194805194805194,0.5594405594405595
0.5163398692810458,0.5524475524475524
0.5131578947368421,0.5454545454545454
0.5099337748344371,0.5384615384615384
0.5066666666666667,0.5314685314685315
0.5033557046979866,0.5244755244755245
0.5,0.5174825174825175
0.4965986394557823,0.5104895104895105
0.4931506849315068,0.5034965034965035
0.4896551724137931,0.4965034965034965
0.4861111111111111,0.48951048951048953
0.4825174825174825,0.4825174825174825
0.4788732394366197,0.4755244755244755
0.475177304964539,0.46853146853146854
0.4714285714285714,0.46153846153846156
0.4676258992805755,0.45454545454545453
0.463768115942029,0.44755244755244755
0.45985401459854014,0.4405594405594406
0.45588235294117646,0.43356643356643354
0.45925925925925926,0.43356643356643354
0.4552238805970149,0.42657342657342656
0.45112781954887216,0.4195804195804196
0.44696969696969696,0.4125874125874126
0.44274809160305345,0.40559440559440557
0.43846153846153846,0.3986013986013986
0.43410852713178294,0.3916083916083916
0.4296875,0.38461538461538464
0.4251968503937008,0.3776223776223776
0.42063492063492064,0.3706293706293706
0.416,0.36363636363636365
0.4112903225806452,0.35664335664335667
0.4065040650406504,0.34965034965034963
0.4016393442622951,0.34265734265734266
0.39669421487603307,0.3356643356643357
0.39166666666666666,0.32867132867132864
0.3865546218487395,0.32167832167832167
0.3813559322033898,0.3146853146853147
0.37606837606837606,0.3076923076923077
0.3706896551724138,0.3006993006993007
0.3652173913043478,0.2937062937062937
0.35964912280701755,0.2867132867132867
0.35398230088495575,0.27972027972027974
0.3482142857142857,0.2727272727272727
0.34234234234234234,0.26573426573426573
0.33636363636363636,0.25874125874125875
0.3302752293577982,0.2517482517482518
0.32407407407407407,0.24475524475524477
0.3177570093457944,0.23776223776223776
0.3113207547169811,0.23076923076923078
0.3047619047619048,0.22377622377622378
0.2980769230769231,0.21678321678321677
0.2912621359223301,0.2097902097902098
0.28431372549019607,0.20279720279720279
0.27722772277227725,0.1958041958041958
0.27,0.1888111888111888
0.26262626262626265,0.18181818181818182
0.25510204081632654,0.17482517482517482
0.24742268041237114,0.16783216783216784
0.23958333333333334,0.16083916083916083
0.23157894736842105,0.15384615384615385
0.22340425531914893,0.14685314685314685
0.21505376344086022,0.13986013986013987
0.20652173913043478,0.13286713286713286
0.1978021978021978,0.1258741258741259
0.18888888888888888,0.11888111888111888
0.1797752808988764,0.11188811188811189
0.17045454545454544,0.1048951048951049
0.16091954022988506,0.0979020979020979
0.1511627906976744,0.09090909090909091
0.1411764705882353,0.08391608391608392
0.14285714285714285,0.08391608391608392
0.13253012048192772,0.07692307692307693
0.12195121951219512,0.06993006993006994
0.1111111111111111,0.06293706293706294
0.1,0.055944055944055944
0.08860759493670886,0.04895104895104895
0.07692307692307693,0.04195804195804196
0.06493506493506493,0.03496503496503497
0.05263157894736842,0.027972027972027972
0.04,0.02097902097902098
0.02702702702702703,0.013986013986013986
0.0136986301369863,0.006993006993006993
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
