exp,arm,seed,tag,n_rounds,final_val,max_val,mean_last50,std_last50,hit70,sus70,mb70,hit75,sus75,mb75,hit80,sus80,mb80,hit85,sus85,mb85,hit86,sus86,mb86
E1,final_r0_mu10_k16,seed42,pseudo,200,0.8596761192936176,0.8772990400820693,0.8646962702425441,0.002381346023486946,1,1,0.28,12,6,1.69,15,12,3.39,23,19,5.36,44,38,10.73
E1,final_r0_mu10_k16,seed43,pseudo,200,0.8531911775481791,0.8543635963948121,0.8529354436872573,0.0005006693722912467,1,1,0.28,4,1,0.28,21,15,4.23,88,83,23.43,,,
E1,final_r0_mu10_k16,seed44,pseudo,200,0.8801568110207372,0.883930534183337,0.8800505605627611,0.0002612632298088451,1,1,0.28,6,1,0.28,9,7,1.98,21,18,5.08,31,24,6.78
E1,final_r0_mu10_k16,seed45,pseudo,200,0.8938960943797172,0.9030556166190371,0.8929325126401407,0.0007239615919752349,10,8,2.26,11,10,2.82,15,11,3.11,22,18,5.08,27,21,5.93
E1,final_r0_mu10_k16,seed46,pseudo,200,0.8515058254561442,0.8658313182384407,0.8510346596321536,0.0006788242001687605,6,5,1.41,9,6,1.69,18,11,3.11,25,21,5.93,28,25,7.06
E1,lower_bound_v1,seed42,pseudo,200,0.6429618231113066,0.6435846706235803,0.6429999267238221,2.6379424049229883e-05,,,,,,,,,,,,,,,
E1,lower_bound_v1,seed43,pseudo,200,0.6608412105224591,0.7439730343665274,0.6901993112039276,0.023658896937451778,7,7,1.98,,,,,,,,,,,,
E1,lower_bound_v1,seed44,pseudo,200,0.6419359566205026,0.6559317066021836,0.6432747123910016,0.0031187189253402453,,,,,,,,,,,,,,,
E1,lower_bound_v1,seed45,pseudo,200,0.6928629002711219,0.753865318384993,0.7058877408954349,0.0103061459426225,61,56,15.81,102,,,,,,,,,,,
E1,lower_bound_v1,seed46,pseudo,200,0.6562980874917564,0.6925331574705064,0.659059133875577,0.006664998132135925,,,,,,,,,,,,,,,
E1,upper_bound_supervised,seed42,true,200,0.7597640507071152,0.7597640507071152,0.7446867443394153,0.004738953697616239,63,59,16.66,195,190,53.64,,,,,,,,,
E1,upper_bound_supervised,seed43,true,200,0.7438264820106983,0.765113211694878,0.7498424562174837,0.009187886031670447,56,52,14.68,62,57,16.09,,,,,,,,,
E1,upper_bound_supervised,seed44,true,200,0.7667985637869129,0.7667985637869129,0.7392122810874184,0.007451878943968618,52,48,13.55,56,191,53.92,,,,,,,,,
E1,upper_bound_supervised,seed45,true,200,0.752802813805232,0.7530226423389756,0.7361976991280135,0.01118060565066795,57,124,35.01,66,187,52.79,,,,,,,,,
E1,upper_bound_supervised,seed46,true,200,0.7548545467868396,0.7548545467868396,0.7335714809115557,0.00889621161449188,135,129,36.42,196,,,,,,,,,,,
E1,upper_bound_supervised_curated,seed42,true,200,0.7796218949219609,0.780281380523192,0.7636110500476295,0.011896919497754378,75,73,20.61,154,151,42.63,,,,,,,,,
E1,upper_bound_supervised_curated,seed43,true,200,0.7207078478786546,0.7278522752253243,0.703477687403825,0.022337515459893133,64,161,45.45,,,,,,,,,,,,
E1,upper_bound_supervised_curated,seed44,true,200,0.6938154905840112,0.7329083315014289,0.7145555799809482,0.01503371796638571,69,65,18.35,,,,,,,,,,,,
