exp,arm,tag,seeds,final_val_mean,mean_last50,std_last50,sus70_n_attained,sus70_mean,sus70_std,sus70_mb,sus75_n_attained,sus75_mean,sus75_std,sus75_mb,sus80_n_attained,sus80_mean,sus80_std,sus80_mb,sus85_n_attained,sus85_mean,sus85_std,sus85_mb,sus86_n_attained,sus86_mean,sus86_std,sus86_mb
E_LOFO,DoS_Hulk,pseudo,1,0.8491,0.853,0.0025,1,1,0.0,0.28,1,1,0.0,0.28,1,4,0.0,1.13,1,55,0.0,15.53,0,,0.0,
E_LOFO,DoS_Slowhttptest,pseudo,1,0.8676,0.8721,0.0058,1,6,0.0,1.69,1,8,0.0,2.26,1,11,0.0,3.11,1,14,0.0,3.95,1,19,0.0,5.36
E_LOFO,DoS_slowloris,pseudo,1,0.844,0.8528,0.0066,1,3,0.0,0.85,1,6,0.0,1.69,1,12,0.0,3.39,1,22,0.0,6.21,1,27,0.0,7.62
E_LOFO,FTPPatator,pseudo,1,0.8676,0.867,0.0005,1,1,0.0,0.28,1,1,0.0,0.28,1,4,0.0,1.13,1,19,0.0,5.36,1,35,0.0,9.88
E_LOFO,Heartbleed,pseudo,1,0.8726,0.8738,0.0005,1,2,0.0,0.56,1,7,0.0,1.98,1,12,0.0,3.39,1,19,0.0,5.36,1,38,0.0,10.73
E_LOFO,Infiltration,pseudo,1,0.8676,0.8673,0.0006,1,3,0.0,0.85,1,5,0.0,1.41,1,7,0.0,1.98,1,14,0.0,3.95,1,17,0.0,4.8
E_LOFO,PortScan,pseudo,1,0.8221,0.821,0.0007,1,1,0.0,0.28,1,3,0.0,0.85,1,7,0.0,1.98,0,,0.0,,0,,0.0,
E_LOFO,SSHPatator,pseudo,1,0.8588,0.8601,0.0015,1,1,0.0,0.28,1,1,0.0,0.28,1,4,0.0,1.13,1,11,0.0,3.11,1,44,0.0,12.42
E_LOFO,Web_Attack__Brute_Force,pseudo,1,0.8756,0.8771,0.0009,1,6,0.0,1.69,1,10,0.0,2.82,1,16,0.0,4.52,1,21,0.0,5.93,1,34,0.0,9.6
E_LOFO,Web_Attack__Sql_Injection,pseudo,1,0.8743,0.8733,0.0008,1,4,0.0,1.13,1,7,0.0,1.98,1,10,0.0,2.82,1,16,0.0,4.52,1,29,0.0,8.19
E_LOFO,Web_Attack__XSS,pseudo,1,0.8625,0.8641,0.0015,1,1,0.0,0.28,1,3,0.0,0.85,1,8,0.0,2.26,1,14,0.0,3.95,1,25,0.0,7.06
E_LOFO_2018,Bot,pseudo,3,0.8543,0.8642,0.0075,3,8.7,2.4,2.45,3,13.7,0.9,3.86,3,16.7,0.9,4.71,3,20,3.6,5.65,3,21,4.2,5.93
E_LOFO_2018,Brute_Force_Web,pseudo,1,0.8718,0.7901,0.0509,1,21,0.0,5.93,1,21,0.0,5.93,1,21,0.0,5.93,1,187,0.0,52.79,1,187,0.0,52.79
E_LOFO_2018,Brute_Force_XSS,pseudo,1,0.8707,0.8048,0.0556,1,22,0.0,6.21,1,22,0.0,6.21,1,24,0.0,6.78,1,180,0.0,50.82,1,180,0.0,50.82
E_LOFO_2018,DDOS_attackHOIC,pseudo,1,0.8971,0.8973,0.0001,1,20,0.0,5.65,1,20,0.0,5.65,1,20,0.0,5.65,1,25,0.0,7.06,1,25,0.0,7.06
E_LOFO_2018,DDOS_attackLOICUDP,pseudo,1,0.87,0.8136,0.0564,1,8,0.0,2.26,1,17,0.0,4.8,1,26,0.0,7.34,1,181,0.0,51.1,1,181,0.0,51.1
E_LOFO_2018,DDoS_attacksLOICHTTP,pseudo,1,0.7866,0.7884,0.0006,1,22,0.0,6.21,1,24,0.0,6.78,1,24,0.0,6.78,0,,0.0,,0,,0.0,
E_LOFO_2018,DoS_attacksGoldenEye,pseudo,1,0.7779,0.7777,0.0003,1,1,0.0,0.28,1,1,0.0,0.28,0,,0.0,,0,,0.0,,0,,0.0,
E_LOFO_2018,DoS_attacksHulk,pseudo,1,0.8513,0.8582,0.0164,1,19,0.0,5.36,1,19,0.0,5.36,1,22,0.0,6.21,1,31,0.0,8.75,1,31,0.0,8.75
E_LOFO_2018,DoS_attacksSlowHTTPTest,pseudo,1,0.8673,0.8673,0.0003,1,22,0.0,6.21,1,24,0.0,6.78,1,24,0.0,6.78,1,145,0.0,40.94,1,145,0.0,40.94
E_LOFO_2018,DoS_attacksSlowloris,pseudo,1,0.8608,0.8608,0.0001,1,1,0.0,0.28,1,15,0.0,4.23,1,23,0.0,6.49,1,25,0.0,7.06,1,25,0.0,7.06
E_LOFO_2018,FTPBruteForce,pseudo,1,0.868,0.7873,0.0503,1,5,0.0,1.41,1,16,0.0,4.52,1,21,0.0,5.93,1,187,0.0,52.79,1,187,0.0,52.79
E_LOFO_2018,Infilteration,pseudo,1,0.8102,0.8114,0.0013,1,19,0.0,5.36,1,23,0.0,6.49,1,29,0.0,8.19,1,33,0.0,9.32,1,33,0.0,9.32
E_LOFO_2018,SQL_Injection,pseudo,1,0.8687,0.7879,0.0504,1,4,0.0,1.13,1,4,0.0,1.13,1,22,0.0,6.21,1,187,0.0,52.79,1,187,0.0,52.79
E_LOFO_2018,SSHBruteforce,pseudo,1,0.8518,0.8521,0.0002,1,17,0.0,4.8,1,18,0.0,5.08,1,19,0.0,5.36,1,20,0.0,5.65,1,20,0.0,5.65
