exp,arm,seeds,kb_per_round,budget_mb,det_f1,lab_f1,rho,plateau,osc,R70,R70_sd,R70_ci95,MB70_ci95,R70_n,MB70,R75,R75_sd,R75_ci95,MB75_ci95,R75_n,MB75,R80,R80_sd,R80_ci95,MB80_ci95,R80_n,MB80,R85,R85_sd,R85_ci95,MB85_ci95,R85_n,MB85,es20_halt,es20_mb,es20_acc,es20_cost
E1,final_r0_mu10_k16,5,289.08,56.46,0.8646,0.9339,,0.8683,0.0009,3.2,2.9,4.0,1.12,5,0.9,4.8,3.4,4.8,1.34,5,1.36,11.2,2.6,3.6,1.0,5,3.16,31.8,25.6,35.6,10.04,5,8.98,75.2,21.23,0.8669,0.0012
E1,lower_bound_v1,5,289.08,56.46,0.7212,0.7685,,0.6683,0.0088,31.5,24.5,311.4,87.91,2,8.89,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,25.2,7.11,0.6723,0.0207
E1,upper_bound_supervised,5,289.08,56.46,0.5255,0.9234,,0.7407,0.0083,82.4,36.2,50.3,14.19,5,23.26,156.2,57.3,105.3,29.73,4,44.11,,0.0,,,0,,,0.0,,,0,,27.4,7.74,0.5595,0.2004
E1,upper_bound_supervised_curated,5,289.08,56.46,0.503,0.9234,,0.73,0.0151,115.8,42.6,59.2,16.7,5,32.69,136,15.0,190.7,53.82,2,38.39,,0.0,,,0,,,0.0,,,0,,34.8,9.82,0.5856,0.1619
E1,v2.1,5,289.08,56.46,0.7994,0.9234,,0.6376,0.0411,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,29.6,8.36,0.7857,0.0001
E11,rho_0.00,5,289.08,56.46,0.8646,0.9339,0.0217,0.8683,0.0009,3.2,2.9,4.0,1.12,5,0.9,4.8,3.4,4.8,1.34,5,1.36,11.2,2.6,3.6,1.0,5,3.16,31.8,25.6,35.6,10.04,5,8.98,75.2,21.23,0.8669,0.0012
E11,rho_0.05,5,289.08,56.46,0.8511,0.9339,0.0696,0.8086,0.0105,3.4,3.0,4.2,1.18,5,0.96,3.5,2.6,4.8,1.35,4,0.99,9,1.9,3.4,0.97,4,2.54,19,0.0,,,1,5.36,53.8,15.19,0.8504,0.0021
E11,rho_0.10,5,289.08,56.46,0.8511,0.9339,0.117,0.8229,0.0156,3,2.4,3.4,0.96,5,0.85,4.2,2.7,3.8,1.06,5,1.19,9,2.2,6.6,1.86,3,2.54,16,0.0,,,1,4.52,56.6,15.98,0.8505,0.0024
E11,rho_0.15,5,289.08,56.46,0.8524,0.9339,0.1653,0.8411,0.0054,2.6,2.0,2.7,0.77,5,0.73,3.6,2.2,3.1,0.88,5,1.02,8,1.1,1.5,0.43,5,2.26,15.7,0.5,1.4,0.4,3,4.42,49,13.83,0.8513,0.0032
E11,rho_0.20,5,289.08,56.46,0.8588,0.9339,0.2134,0.8549,0.0018,2.6,2.0,2.7,0.77,5,0.73,3,2.4,3.4,0.96,5,0.85,7.2,1.0,1.4,0.38,5,2.03,36.5,36.7,67.4,19.02,4,10.3,62.4,17.62,0.8631,0.0018
E11,rho_0.30,5,289.08,56.46,0.8724,0.9339,0.3087,0.8722,0.0046,2.4,2.0,2.7,0.77,5,0.68,2.8,2.4,3.3,0.94,5,0.79,6,3.7,5.2,1.47,5,1.69,22,12.9,18.0,5.07,5,6.21,58.6,16.54,0.8764,0.0017
E12,frac_0.2,3,57.82,11.29,0.8683,0.9327,0.0228,0.873,0.0146,4,2.4,7.5,0.42,3,0.23,14.7,13.5,41.0,2.31,3,0.83,16.7,12.9,39.3,2.22,3,0.94,33.5,17.5,222.4,12.56,2,1.89,50.7,2.86,0.8069,0.0729
