round,train_acc,val_acc
1,0.8360750334316437,0.6418626804425881
2,0.8471944897323637,0.6521213453506265
3,0.8477440509992856,0.6526709166849857
4,0.8481012658227848,0.6530372975745585
5,0.8470479400611844,0.652194621528541
6,0.8706057997032369,0.6816150069612369
7,0.8723185989851435,0.6843995017219902
8,0.8730696660499369,0.6850956254121785
9,0.8561706570920882,0.6645416575071444
10,0.8586986389199289,0.6682421044918297
11,0.8698822107017897,0.6813585403385359
12,0.853441169466376,0.6622700959917931
13,0.8729322757332063,0.6855719205686231
14,0.8542197145945154,0.6608412105224591
15,0.8697814578028541,0.6809188832710485
16,0.8611716646210775,0.6696343518722063
17,0.8531480701240176,0.6598519821206126
18,0.8563813222444082,0.6650179526635891
19,0.8622341497371265,0.6722722942771305
20,0.8644415541592628,0.6751667033047556
21,0.8568484493212918,0.6662270095991794
22,0.8601183388594772,0.6701839232065655
23,0.8599809485427468,0.6699640946728219
24,0.8670244921137958,0.678097750421338
25,0.8575079228415982,0.6660804572433502
26,0.8634798219421496,0.6743240272587382
27,0.8562988880543699,0.6644683813292299
28,0.8606495814175017,0.6703671136513519
29,0.8630126948652659,0.6737378178354217
30,0.8668413050248218,0.6780611123323808
31,0.8712469545146458,0.6846193302557338
32,0.8621242374837421,0.6719791895654723
33,0.8602282511128616,0.6700373708507364
34,0.8572606202714833,0.6634791529273834
35,0.8644140760959168,0.6752033413937129
36,0.8668962611515141,0.6777313695317653
37,0.8584696550587114,0.6652011431083754
38,0.8691219842825477,0.6800029310471166
39,0.8748007840407408,0.686597787059427
40,0.8653574896041327,0.674177474902909
41,0.8643865980325707,0.6723822085440023
42,0.862765392295151,0.6687550377372317
43,0.8728040447709245,0.6837400161207592
44,0.8642766857791863,0.6693778852495054
45,0.8692135778270348,0.6803693119366894
46,0.8637179651578156,0.6716128086758995
47,0.8658062979721189,0.6741041987249945
48,0.8684533514077928,0.675606360372243
49,0.8704684093865065,0.6802227595808603
50,0.8699463261829307,0.6805891404704331
51,0.8761380497902508,0.6891624532864365
52,0.8722086867317591,0.6837400161207592
53,0.869873051347341,0.6804059500256466
54,0.874370294381652,0.6878434820839745
55,0.8719888622249904,0.6830072543416136
56,0.8665848431002583,0.6773283505532351
57,0.86650240891022,0.6775115409980216
58,0.8621242374837421,0.6719059133875577
59,0.8625272490794849,0.6725653989887888
60,0.8666489585813992,0.6773283505532351
61,0.8725842202641558,0.6848391587894775
62,0.8662825844034513,0.6767421411299187
63,0.8661543534411694,0.6768520553967905
64,0.870028760372969,0.6809555213600058
65,0.87072487131107,0.682018025939767
66,0.8700196010185202,0.6816150069612369
67,0.872941435087655,0.6849490730563493
68,0.8735093150634743,0.6842895874551184
69,0.8724193518840793,0.6833369971422291
70,0.8723369176940409,0.6831538066974426
71,0.8739672827859093,0.6849857111453067
72,0.8740130795581528,0.6851322635011358
73,0.8729047976698602,0.6841063970103319
74,0.8758815878656873,0.6880999487066755
75,0.8723002802762462,0.6832270828753573
76,0.8754968949788419,0.6872572726606581
77,0.8723094396306948,0.6831538066974426
78,0.8735642711901666,0.6811753498937495
79,0.8737566176335891,0.6811753498937495
80,0.8737932550513839,0.6830072543416136
81,0.8731795783033212,0.6817249212281088
82,0.8749564930663687,0.6857184729244523
83,0.8769532323361849,0.6833369971422291
84,0.8764677865504039,0.6866710632373415
85,0.8756342852955724,0.685168901590093
86,0.8737291395702431,0.6795632739796292
87,0.871091245489018,0.6769986077526197
88,0.8783362948579384,0.6843628636330329
89,0.8775760684386964,0.6846926064336484
90,0.8782904980856949,0.6844727778999048
91,0.8782996574401436,0.6845460540778193
92,0.8773837219952738,0.6871473583937862
93,0.8780065580977853,0.6885029676852056
94,0.8770081884628771,0.6871839964827434
95,0.8775669090842477,0.6853154539459222
96,0.8780065580977853,0.6847292445226058
97,0.8772371723240946,0.6871839964827434
98,0.8775485903753504,0.6870008060379571
99,0.8781439484145157,0.6891258151974793
100,0.8774295187675173,0.6873305488385726
101,0.8770356665262232,0.6875870154612735
102,0.879197274176116,0.6848025207005203
103,0.877924123907747,0.6836667399428445
104,0.8772829690963381,0.6874771011944018
105,0.8792980270750518,0.6848391587894775
106,0.8785469600102584,0.6856085586575804
107,0.8774203594130686,0.6873671869275298
108,0.8778874864899522,0.6836301018538873
109,0.8789591309604499,0.6843995017219902
110,0.8792247522394622,0.6845826921667766
111,0.8792155928850135,0.684765882611563
112,0.8789499716060012,0.6853154539459222
113,0.8787942625803733,0.6842529493661611
114,0.8789682903148986,0.6849857111453067
115,0.8777684148821191,0.6884296915072909
116,0.8791789554672187,0.6846926064336484
117,0.8781256297056184,0.6838132922986737
118,0.8789499716060012,0.6845460540778193
119,0.8785103225924636,0.6861947680808969
120,0.8791331586949752,0.6844727778999048
121,0.8791789554672187,0.6851322635011358
122,0.8775302716664529,0.6873671869275298
123,0.8789774496693473,0.690518062577856
124,0.8776218652109399,0.68817322488459
125,0.8793896206195387,0.6849490730563493
126,0.8790873619227317,0.6853887301238367
127,0.8792339115939108,0.6848025207005203
128,0.8793438238472953,0.685022349234264
129,0.8790049277326935,0.6845094159888621
130,0.8790049277326935,0.6845460540778193
131,0.87783253036326,0.6880999487066755
132,0.8775211123120042,0.6883197772404192
133,0.8792797083661543,0.6850589873232212
134,0.8788675374159629,0.6843628636330329
135,0.8792247522394622,0.6846559683446911
136,0.8785378006558098,0.6841063970103319
137,0.8789774496693473,0.6844727778999048
138,0.8786751909725402,0.6843262255440756
139,0.8790140870871421,0.6849124349673921
140,0.8789408122515525,0.6844361398109474
141,0.878409569693528,0.6840331208324174
142,0.8789591309604499,0.6843995017219902
143,0.8787484658081298,0.6842895874551184
144,0.8788675374159629,0.6843628636330329
145,0.8788308999981681,0.6842529493661611
146,0.8784370477568741,0.6840697589213747
147,0.8788034219348221,0.6843628636330329
148,0.8789408122515525,0.6852421777680077
149,0.8792980270750518,0.6849857111453067
150,0.8781256297056184,0.6890525390195648
151,0.879078202568283,0.6846193302557338
152,0.8788400593526168,0.6843995017219902
153,0.8785469600102584,0.6843995017219902
154,0.8765960175126857,0.6865611489704697
155,0.8769257542728388,0.6878068439950172
156,0.8769257542728388,0.6878434820839745
157,0.8787667845170273,0.6844727778999048
158,0.8784828445291176,0.6842529493661611
159,0.8765593800948909,0.6865245108815125
160,0.8793896206195387,0.6958305854766615
161,0.876797523310557,0.6874038250164871
162,0.8769257542728388,0.6868542536821279
163,0.8785194819469124,0.6845460540778193
164,0.8782172232501053,0.6843628636330329
165,0.8781256297056184,0.6845460540778193
166,0.8761472091446995,0.6872572726606581
167,0.876797523310557,0.6873305488385726
168,0.8769990291084284,0.6868908917710852
169,0.8786568722636429,0.6845826921667766
170,0.8777775742365678,0.6856085586575804
171,0.8780523548700288,0.6845826921667766
172,0.8780523548700288,0.6842529493661611
173,0.8786385535547455,0.6847292445226058
174,0.8725659015552584,0.6789404264673554
175,0.8775027936031069,0.6835201875870155
176,0.8720071809338877,0.6780244742434235
177,0.877924123907747,0.6837766542097165
178,0.8775302716664529,0.6834835494980582
179,0.87628459946143,0.682274492562468
180,0.8784553664657715,0.6857551110134096
181,0.8742603821282676,0.6803693119366894
182,0.8772280129696459,0.6832270828753573
183,0.8776585026287347,0.6837766542097165
184,0.8675007785451282,0.6731516084121052
185,0.8774844748942094,0.6836667399428445
186,0.8732253750755646,0.6796365501575438
187,0.8692135778270348,0.6755330841943284
