node,category,P,R,Acc,F1
1,client1: DoS Hulk,0.9595857539782774,0.9476178598154154,0.926,0.9535642570281124
2,client2: DDoS,0.9516224188790561,0.8101456554495229,0.816,0.8752034725990233
3,client3: PortScan,0.9428160919540229,0.8229245046400803,0.819,0.8788000535690371
4,client4: DoS GoldenEye + DoS Slowhttptest + Heartbleed...,0.9428001330229464,0.8330884513664414,0.8321995464852607,0.8845553822152886
5,client5: Bot + DoS slowloris + FTP-Patator...,0.9315329022441993,0.7123327515997673,0.7359385588434606,0.8073182792154278
,Average,0.9456714600157005,0.8252218445742454,0.8258276210657443,0.8798882889253778
