node,attack_type,n_test,precision,recall,f1
1,Bot,386,0.6977,0.6218,0.6575
2,DDoS,4003,0.9235,0.8559,0.8884
3,DoS GoldenEye,2057,0.8723,0.9796,0.9228
4,DoS Hulk,3987,0.9313,0.9458,0.9385
5,DoS Slowhttptest,1024,0.7756,0.8877,0.8279
6,DoS slowloris,1097,0.81,0.9635,0.8801
7,FTP-Patator,1183,0.8026,0.9932,0.8878
8,Infiltration,1,0.0037,1.0,0.0073
8,PortScan,3958,0.9295,0.9055,0.9173
9,Heartbleed,1,0.0053,1.0,0.0105
9,SSH-Patator,628,0.758,0.9379,0.8384
10,Web Attack - Brute Force,298,0.7287,0.9463,0.8234
10,Web Attack - Sql Injection,5,0.0278,0.6,0.0531
10,Web Attack - XSS,134,0.5513,0.9627,0.7011
