node,attack_type,n_test,precision,recall,f1
1,Bot,391,0.7029,0.6113,0.6539
2,DDoS,3985,0.9274,0.8434,0.8834
3,DoS GoldenEye,2065,0.8851,0.9811,0.9306
4,DoS Hulk,4006,0.9406,0.9481,0.9443
5,DoS Slowhttptest,1042,0.7771,0.8868,0.8283
6,DoS slowloris,1132,0.834,0.9717,0.8976
7,FTP-Patator,1167,0.8107,0.9983,0.8948
8,Infiltration,2,0.0037,0.5,0.0074
8,PortScan,4034,0.9334,0.9353,0.9344
9,Heartbleed,2,0.0,0.0,0.0
9,SSH-Patator,662,0.7997,0.923,0.8569
10,Web Attack - Brute Force,306,0.7337,0.9542,0.8295
10,Web Attack - Sql Injection,3,0.0185,0.6667,0.036
10,Web Attack - XSS,111,0.4976,0.9459,0.6522
