round,zeta_sq
20,20.382065616607175
40,23.51128890683887
60,34.20820365318509
80,25.064341450892368
100,25.8305053941517
120,29.074402799701474
140,28.062381943653286
160,25.215065662445596
180,17.55525785231664
200,22.709985930279665
