node,category,P,R,Acc,F1
1,Bot,0.6593673965936739,0.7112860892388452,0.6790757381258024,0.6843434343434344
2,DDoS,0.9147322454608136,1.0,0.9258,0.9554675309086544
3,DoS GoldenEye,0.8382961124896608,1.0,0.8720968269545306,0.9120359955005625
4,DoS Hulk,0.9077131870617507,1.0,0.9184,0.9516243775195636
5,DoS Slowhttptest,0.7242857142857143,0.9990147783251232,0.8108504398826979,0.8397515527950311
6,DoS slowloris,0.7178975382568197,1.0,0.7958594126143477,0.8357862122385747
7,FTP-Patator,0.7473015873015874,1.0,0.817932296431839,0.8553779069767442
8,PortScan + Infiltration,0.9044541887837526,0.9874023683547493,0.9072,0.9441098530474584
9,SSH-Patator + Heartbleed,0.7285559174809989,1.0,0.8065015479876161,0.842964824120603
10,WebAttack BF + SQL + XSS,0.705982905982906,1.0,0.7992998833138857,0.8276553106212425
,Average,0.7848586793697678,0.9697703235918718,0.8333016145310719,0.8649116998071869
